0x000B864DCEBA5526: Be Honored with a Legacy Statue	→	Be Honoured with a Legacy Statue
0xF088B871B0DC45DE: The chef is astounded with your gardening abilities! Here are your Omni Plant seeds. You can feed a huge variety of things and ingredients to the Omni Plant to grow more of them!  It’s amazing what you can do with modern farming techniques! Don’t forget to use your mail box to order more seeds!	→	The chef is astounded with your gardening abilities! Here are your Omni Plant seeds. You can feed a huge variety of things and ingredients to the Omni Plant to grow more of them! It’s amazing what you can do with modern farming techniques! Don’t forget to use your post box to order more seeds!
0xF09BAD5F9595F0D9: Cursed gnomes! I thought they were here to sell  their delightful cookies but it was a trap. Please catch them before they drive me crazy!	→	Cursed gnomes! I thought they were here to sell their delightful biscuits but it was a trap. Please catch them before they drive me crazy!
0xF09BAD5F9595F0DA: These fiendish gnomes materialized out of nowhere and began causing mischief. Please catch them before they cause too much trouble!	→	These fiendish gnomes materialised out of nowhere and began causing mischief. Please catch them before they cause too much trouble!
0xF0C06D3A8E08A123: “Deliver Cookies” at the School to earn some money.	→	“Deliver Biscuits” at the School to earn some money.
0xF0C25DD8AF623938: The confines of household televisions are not sufficient for your budding stardom. The studio has pushed you to the big screen in theaters nationwide, albeit in a Supporting {MA.Actor}{FA.Actress} role. Keep flashing those pearly whites at hotspots around town and soon you'll be so popular that your acting abilities won't even be taken into account!\\n\\n{0.SimName} has received the Limo carpool and will ride in style to work.	→	The confines of household televisions are not sufficient for your budding stardom. The studio has pushed you to the big screen in cinemas nationwide, albeit in a Supporting {MA.Actor}{FA.Actress} role. Keep flashing those pearly whites at hotspots around town and soon you'll be so popular that your acting abilities won't even be taken into account!\\n\\n{0.SimName} has received the Limo carpool and will ride in style to work.
0xF0C56CE765FDFC63: Play Soccer	→	Play Football
0xF0C59898759B70BD: Color Numbers	→	Colour Numbers
0xF0DDEDDA05F5A677: {0.SimFirstName} is ready to start examining patients at {1.String}.  The session will last for {2.Number} hours.	→	{0.SimFirstName} is ready to start examining patients at {1.String}. The session will last for {2.Number} hours.
0xF0E1450468CE0246: The most beautiful of plants, especially for the deepest dry desert, the Desert Lotus will beautify any garden. Evolved from lesser desert scrub, the Lotus can withstand the most brutal of sand lashings and seasons without precipitation, and is a constant reminder that immense beauty can always survive without expensive moisturization products.	→	The most beautiful of plants, especially for the deepest dry desert, the Desert Lotus will beautify any garden. Evolved from lesser desert scrub, the Lotus can withstand the most brutal of sand lashings and seasons without precipitation, and is a constant reminder that immense beauty can always survive without expensive moisturisation products.
0xF0EF7B9EC090815A: Dive Bar Headliner	→	Pub Headliner
0xF0EF7B9EC090815B: Dive Bar Opening Act	→	Pub Opening Act
0xF0EF7B9EC090815C: Subway Trawler	→	Underground Metro Trawler
0xF0FCA14F93DC7D8B: {0.SimFirstName} just took a beat up {1.ObjectName}.  It is now in the family inventory.	→	{0.SimFirstName} just took a beat up {1.ObjectName}. It is now in the family inventory.
0xF10DD4E60D8D3081: {2.SimName} just reeled in an Excellent {FishName}. {MA.He}{FA.She} will always remember the exceptional form and desirable color of the fishy catch!	→	{2.SimName} just reeled in an Excellent {FishName}. {MA.He}{FA.She} will always remember the exceptional form and desirable colour of the fishy catch!
0xF110E78D3887B5F1: Get Drinks With Pack ({0.Money})	→	Get Drinks With Pack ({0.Money}) 
0xF11847A08033AE28: Analyze a Plant	→	Analyse a Plant
0xF11D66D65DC09FBB: Analyze {0.Number} Space Rocks	→	Analyse {0.Number} Space Rocks
0xF139CFF057F93B23: A Diabolical Detonator has detonated {0.Number} objects.  As a reward, it costs them less to Detonate stuff, they get more Scrap out of it and they're less likely to get fined!	→	A Diabolical Detonator has detonated {0.Number} objects. As a reward, it costs them less to Detonate stuff, they get more Scrap out of it and they're less likely to get fined!
0xF13A05F9322D635A: Excellent Elixirs requires that {0.Number} elixirs be mixed.  Once you have achieved this challenge, you will be able to create {1.Number} elixirs each time you Mix Elixirs at the Alchemy Station.	→	Excellent Elixirs requires that {0.Number} elixirs be mixed. Once you have achieved this challenge, you will be able to create {1.Number} elixirs each time you Mix Elixirs at the Alchemy Station.
0xF164EC90125E5E31: The chef is very, very impressed with the produce you delivered! You are now able to plant eggs and cheese to turn into Eggplants and Cheeseplants. The delicious and frightening possibilities are endless! Come back for a new challenge when you’re a level 9 Gardener!	→	The chef is very, very impressed with the produce you delivered! You are now able to plant eggs and cheese to turn into Aubergines and Cheeseplants. The delicious and frightening possibilities are endless! Come back for a new challenge when you’re a level 9 Gardener!
0xF16D29183C4BD86F: {0.SimFirstName} has just become a Historical Hoarder.  From now on Relics discovered by {0.SimFirstName} are {1.Number}% more valuable.	→	{0.SimFirstName} has just become a Historical Hoarder. From now on Relics discovered by {0.SimFirstName} are {1.Number}% more valuable.
0xF1A8150F650E8BC3: {0.SimFirstName} got a letter from {1.SimName}! It says: “Thinking about you. Do you think people can pinpoint the exact moment when they realize they are ‘more than friends?’”	→	{0.SimFirstName} got a letter from {1.SimName}! It says: “Thinking about you. Do you think people can pinpoint the exact moment when they realise they are ‘more than friends?’”
0xF1A8150F650E8BC4: {0.SimFirstName} just got a letter in the mail from {1.SimName}! It reads: "I have a crush on you but couldn't tell you in person. I hope you feel the same."	→	{0.SimFirstName} just got a letter in the post from {1.SimName}! It reads: "I have a crush on you but couldn't tell you in person. I hope you feel the same."
0xF1AECF14FC964422: Telling a joke is a great way to win friends, but some Sims need encouragement to share their sense of humor with others. Your Sim wants to convince another Sim to tell a joke.	→	Telling a joke is a great way to win friends, but some Sims need encouragement to share their sense of humour with others. Your Sim wants to convince another Sim to tell a joke.
0xF1B15980B2DCF5C8: {0.SimFirstName} just helped a particularly attractive cat burglar after a nasty fall from a recent job.  Talk about missed connections!	→	{0.SimFirstName} just helped a particularly attractive cat burglar after a nasty fall from a recent job. Talk about missed connections!
0xF1B15980B2DCF5CB: One particularly ogrish fellow named Thog had some pretty nasty bruises. He fell down some stairs onto a baseball bat (several times) apparently.  {0.SimFirstName} was able to patch him up quickly.	→	One particularly ogrish fellow named Thog had some pretty nasty bruises. He fell down some stairs onto a cricket bat (several times) apparently. {0.SimFirstName} was able to patch him up quickly.
0xF1BA7A5773DE4A10: A doctor's job is to heal people no matter what sometimes, and its {0.SimFirstName}'s turn to attend the secret "Help Thy Naughty Neighbor" program at the warehouse to help all those clumsy lugs with all of their "accidental" injuries.	→	A doctor's job is to heal people no matter what sometimes, and its {0.SimFirstName}'s turn to attend the secret "Help Thy Naughty Neighbour" program at the warehouse to help all those clumsy lugs with all of their "accidental" injuries.
0xF1C832CF8D9AFABA: You, {0.SimName}, have achieved the highest honors for mastering the Laser Rhythm-a-con. Please accept this framed certificate and display it proudly. 	→	You, {0.SimName}, have achieved the highest honours for mastering the Laser Rhythm-a-con. Please accept this framed certificate and display it proudly. 
0xF1D9913F01E9CD3D: Nitrates are an important asset to any fertilizer; information you’ll find out by reading “Nitrates: They’re Not Just for Exploding.” You’ll earn points with your boss for reading this on your own time, plus your job performance will surely increase.	→	Nitrates are an important asset to any Fertiliser; information you’ll find out by reading “Nitrates: They’re Not Just for Exploding.” You’ll earn points with your boss for reading this on your own time, plus your job performance will surely increase.
